"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_identifiers[+70000000033: User with operations on bank account]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_several_numbers[1-1]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_read_book_from_library","tests.pytest","2026-03-25","passed","2026-03-25","TestLibrary","test_usefixtures","",""
"","1","test_user_with_operations[Zara]","tests.pytest","2026-03-25","passed","2026-03-25","TestOperations","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://stable.company.com-debian]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_user_account","tests.pytest","2026-03-25","passed","2026-03-25","TestAccountFlow","test_fixtures","",""
"","31","test_update_course","tests.courses","2026-03-25","passed","2026-03-25","TestCourses","test_courses","",""
"","34","test_create_course","tests.courses","2026-03-25","passed","2026-03-25","TestCourses","test_courses","",""
"","21","test_get_courses","tests.courses","2026-03-25","passed","2026-03-25","TestCourses","test_courses","",""
"","0","test_assert_positive_case","tests.pytest","2026-03-25","passed","2026-03-25","","test_pytest","",""
"","0","test_get_courses","","2026-03-25","skipped","2026-03-25","","","",""
"","0","test_multiplication_of_numbers[https://stable.company.com-macos]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_host[https://stable.company.com]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_user_without_operations[Zara]","tests.pytest","2026-03-25","passed","2026-03-25","TestOperations","test_parametrization","",""
"","29","test_get_exercises","tests.exercises","2026-03-25","passed","2026-03-25","TestExercises","test_exercises","",""
"","0","test_rerun_with_condition","tests.pytest","2026-03-25","failed","2026-03-25","","test_reruns","",""
"","23","test_update_exercise","tests.exercises","2026-03-25","passed","2026-03-25","TestExercises","test_exercises","",""
"","32","test_create_file_with_empty_directory","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_files","",""
"","0","test_identifiers[+70000000011: User with money on bank account]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_host[https://dev.company.com]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_identifiers[+70000000022: User without money on bank account]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://prod.company.com-windows]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","21","test_get_exercise","tests.exercises","2026-03-25","passed","2026-03-25","TestExercises","test_exercises","",""
"","0","test_read_all_books_in_library","tests.pytest","2026-03-25","passed","2026-03-25","","test_usefixtures","",""
"","21","test_get_user_me","tests.users","2026-03-25","passed","2026-03-25","TestUsers","test_users","",""
"","265","test_create_user[gmail.com]","tests.users","2026-03-25","passed","2026-03-25","TestUsers","test_users","",""
"","0","test_multiplication_of_numbers[https://dev.company.com-debian]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_several_numbers[2-4]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","253","test_create_user[mail.ru]","tests.users","2026-03-25","passed","2026-03-25","TestUsers","test_users","",""
"","21","test_create_exercise","tests.exercises","2026-03-25","passed","2026-03-25","TestExercises","test_exercises","",""
"","0","test_rerun_1","tests.pytest","2026-03-25","failed","2026-03-25","TestReruns","test_reruns","",""
"","0","test_numbers[-1]","tests.pytest","2026-03-25","failed","2026-03-25","","test_parametrization","",""
"","0","test_first_try","tests.pytest","2026-03-25","passed","2026-03-25","","test_pytest","",""
"","0","test_user_with_operations[Alice]","tests.pytest","2026-03-25","passed","2026-03-25","TestOperations","test_parametrization","",""
"","0","test_user_without_operations[Alice]","tests.pytest","2026-03-25","passed","2026-03-25","TestOperations","test_parametrization","",""
"","251","test_create_user[example.com]","tests.users","2026-03-25","passed","2026-03-25","TestUsers","test_users","",""
"","0","test_multiplication_of_numbers[https://stable.company.com-windows]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://prod.company.com-linux]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","243","test_login","tests.authentication","2026-03-25","passed","2026-03-25","TestAuthentication","test_authentication","",""
"","0","test_numbers[3]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","18","test_get_file","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_get_file","",""
"","29","test_delete_exercise","tests.exercises","2026-03-25","passed","2026-03-25","TestExercises","test_exercises","",""
"","0","test_assert_negative_case","tests.pytest","2026-03-25","failed","2026-03-25","","test_pytest","",""
"","22","test_get_file_with_incorrect_file_id","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_files","",""
"","1","test_numbers[1]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_user_can_create_course","tests.pytest","2026-03-25","passed","2026-03-25","TestUserFlow","test_fixtures","",""
"","0","test_several_numbers[3-9]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_numbers[2]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://dev.company.com-macos]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://dev.company.com-windows]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","25","test_create_file","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_files","",""
"","0","test_delete_book_from_library","tests.pytest","2026-03-25","passed","2026-03-25","TestLibrary","test_usefixtures","",""
"","0","test_rerun_2","tests.pytest","2026-03-25","passed","2026-03-25","TestReruns","test_reruns","",""
"","25","test_create_file_with_empty_filename","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_files","",""
"","26","test_delete_file","tests.files","2026-03-25","passed","2026-03-25","TestFiles","test_files","",""
"","0","test_host[https://prod.company.com]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://prod.company.com-debian]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_user_can_login","tests.pytest","2026-03-25","passed","2026-03-25","TestUserFlow","test_fixtures","",""
"","0","test_multiplication_of_numbers[https://dev.company.com-linux]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://prod.company.com-macos]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_multiplication_of_numbers[https://stable.company.com-linux]","tests.pytest","2026-03-25","passed","2026-03-25","","test_parametrization","",""
"","0","test_reruns","tests.pytest","2026-03-25","passed","2026-03-25","","test_reruns","",""
